"gid"|"geom"|"categoria"|"nome"|"citta"|"indirizzo"|"numero"|"cap"|"fonte"|"note"|"pubblicabile"|"verificato"|"datains"|"utenins"|"datamod"|"utenmod"|"dataver"|"utenver"|"distanza_minima"|"comune_ist"|"comune_nom"
"8037"|"0101000020787F000067EB51B8E20E1B41AC4FB89E6F755341"|"Scuola"|"Scuola - Primaria"|"Villadossola"|"Piazza Ossola N. 6"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"103075"|"Villadossola"
"9393"|"0101000020787F0000E0FFFFFF77051B41C0FDFF3F50765341"|"Scuola"|"Scuola - Primaria-sec. 1 Gr."|"Villadossola"|"Primaria : Via Boldrini N. 64  Sec. 1g : Via Boldrini N. 28"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"103075"|"Villadossola"
"9940"|"0101000020787F0000AB9A393399141B41729492AB9E775341"|"Scuola"|"Scuola - Primaria"|"Villadossola"|"Via Garibaldi 2"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"103075"|"Villadossola"
"11684"|"0101000020787F0000153333333D0E1B418DCACC7C35755341"|"Scuola"|"Scuola - Infanzia"|"Villadossola"|"Via Emilia (viale Veneto)"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"103075"|"Villadossola"
"778"|"0101000020787F00002331582092211841C32DB368F4F85241"|"Banche-ATM"|""|"Carignano"|"VIA UMBERTO I, 27 CARIGNANO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001058"|"Carignano"
"969"|"0101000020787F00005A2D0E839D21184106543A82FAF85241"|"Banche-ATM"|""|"Carignano"|"VIA F. SALOTTO, 2 I CARIGNANO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001058"|"Carignano"
"2047"|"0101000020787F00006C2557E38B201841A65FB944ABF85241"|"Banche-ATM"|""|"Carignano"|"VIA SILVIO PELLICO, 1 CARIGNANO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001058"|"Carignano"
"2053"|"0101000020787F0000DAE509CFAD20184141C32DA8C3F85241"|"Banche-ATM"|""|"Carignano"|"PIAZZA CARLO ALBERTO, 49 CARIGNANO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001058"|"Carignano"
"2054"|"0101000020787F00007C5B78ADD31F1841DD08CFF885F85241"|"Banche-ATM"|""|"Carignano"|"VIA MARCONI, 3 CARIGNANO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001058"|"Carignano"
"5603"|"0101000020787F0000DAA715B4A6221841A1CD1367C2F85241"|"Poste"|""|"Carignano"|"VIA CARA DE CANONICA 1, CARIGNANO, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001058"|"Carignano"
"8457"|"0101000020787F00001045E17AA61A1841E73033E3E3F85241"|"Scuola"|"Scuola - Sec. 1 Gr."|"Carignano"|"Via A. Tappi 44"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001058"|"Carignano"
"9342"|"0101000020787F00006CFDFFFF0B201841B4FDFF3FE5F85241"|"Scuola"|"Scuola - Infanzia"|"Carignano"|"Via Forneri 17"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001058"|"Carignano"
"9524"|"0101000020787F00006EFDFFFFE3201841B4FDFFFF51F95241"|"Scuola"|"Scuola - Sec. 2 Gr."|"Carignano"|"Via Valdocco, 23"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001058"|"Carignano"
"9660"|"0101000020787F00008383EE8434221841DFD12E554FF95241"|"Scuola"|"Scuola - Sec. 2 Gr."|"Carignano"|"Via Valdocco, 23"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001058"|"Carignano"
"10002"|"0101000020787F00005EFDFFFF67191841B4FDFFFFE0F85241"|"Scuola"|"Scuola - Infanzia"|"Carignano"|"Via Tappi"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001058"|"Carignano"
"10521"|"0101000020787F0000B407D7A31C2518411B646656FFF85241"|"Scuola"|"Scuola - Primaria"|"Carignano"|"Via Roma 34"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001058"|"Carignano"
"11718"|"0101000020787F0000176E3D0A8C231841C0D4A3401CF95241"|"Scuola"|"Scuola - Sec. 2 Gr."|"Carignano"|"Via Porta Mercatoria, 4/b /via Frichieri"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001058"|"Carignano"
"8265"|"0101000020787F0000978C999929C415415AFDFFFFDAFE5241"|"Scuola"|"Scuola - Infanzia"|"Pomaretto"|"Piazza Della Liberta', N. 1"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001198"|"Pomaretto"
"10706"|"0101000020787F00005A82C2F570C415418D303363E8FE5241"|"Scuola"|"Scuola - Primaria"|"Pomaretto"|"Via Carlo Alberto 34"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001198"|"Pomaretto"
"5893"|"0101000020787F00006C82CA6870D416416E737CE24C235341"|"Poste"|""|"Mezzenile"|"VIA FORNERI 97, MEZZENILE, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001152"|"Mezzenile"
"10296"|"0101000020787F000060FFFFFF13AE1941BBFDFF3FC9135341"|"Scuola"|"Scuola - Primaria"|"Lauriano"|"Via Mazzini, 22"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001129"|"Lauriano"
"11644"|"0101000020787F00008FFFFFFF1FFE1941BDFDFF3FF0EB5241"|"Scuola"|"Scuola - Primaria-sec. 1 Gr."|"Priocca"|"Via Roma 39"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"004176"|"Priocca"
"8026"|"0101000020787F000053F9FFFF77D4164198FDFFFF44235341"|"Scuola"|"Scuola - Infanzia-primaria"|"Mezzenile"|"Via Villa Inferiore 97"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001152"|"Mezzenile"
"8855"|"0101000020787F00000C1885EB8DD41641A2D4A39047235341"|"Scuola"|"Scuola - Primaria"|"Mezzenile"|"Via Villa Inferiore 97"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001152"|"Mezzenile"
"10233"|"0101000020787F000054F9FFFF77D4164198FDFFFF45235341"|"Scuola"|"Scuola - Infanzia-primaria"|"Mezzenile"|"Via Villa Inferiore, 97"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001152"|"Mezzenile"
"192"|"0101000020787F0000E5A58832A4A015412434D7DA82B85241"|"Banche-ATM"|""|"Vinadio"|"VIA ROMA, 11 VINADIO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"300"|"004248"|"Vinadio"
"5696"|"0101000020787F00003A4CB7A558A015412B838FF694B85241"|"Poste"|""|"Vinadio"|"VITTORIO VENETO 7 (PIAZZA), VINADIO, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"300"|"004248"|"Vinadio"
"9931"|"0101000020787F0000FEF1FFFF9BA115415AFDFF3FB1B85241"|"Scuola"|"Scuola - Infanzia-primaria"|"Vinadio"|""|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"004248"|"Vinadio"
"10140"|"0101000020787F000000F2FFFFDFA115415BFDFFFFADB85241"|"Scuola"|"Scuola - Primaria"|"Vinadio"|""|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"004248"|"Vinadio"
"410"|"0101000020787F00002E949FE5B3FD194181C4B8C0B1EB5241"|"Banche-ATM"|""|"Priocca"|"VIA UMBERTO I, 65 PRIOCCA"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"300"|"004176"|"Priocca"
"6441"|"0101000020787F0000A7FD8440AEFD194119E05E47CCEB5241"|"Poste"|""|"Priocca"|"UMBERTO I 25 (VIA), PRIOCCA, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"300"|"004176"|"Priocca"
"9475"|"0101000020787F0000FA09A7C08BFC194154F5150D00EC5241"|"Scuola"|"Scuola - Infanzia-sec. 1 Gr."|"Priocca"|""|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"004176"|"Priocca"
"10198"|"0101000020787F000085A6C6D413FE19411D7A1618ECEB5241"|"Scuola"|"Scuola - Sec. 1 Gr."|"Priocca"|""|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"004176"|"Priocca"
"8231"|"0101000020787F0000C4AE8F5FB76F17412719404CC6205341"|"Scuola"|"Scuola - Primaria"|"Balangero"|"Piazza X Martiri 3"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001016"|"Balangero"
"8873"|"0101000020787F0000554829F90B6D174193F1724F8A205341"|"Scuola"|"Scuola - Sec. 1 Gr."|"Balangero"|"Via S. Anna 45"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001016"|"Balangero"
"9582"|"0101000020787F0000BA9C1F102A701741C8121F1FC4205341"|"Scuola"|"Scuola - Infanzia-primaria"|"Balangero"|"Cpiazza Martiri 5"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001016"|"Balangero"
"1126"|"0101000020787F000015B04481A62F1D41B4C066754E2D5341"|"Banche-ATM"|""|"Sozzago"|"PIAZZA BONOLA 6 SOZZAGO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"300"|"003141"|"Sozzago"
"5129"|"0101000020787F0000DC069EBFA52D1D41C820FCCA872D5341"|"Poste"|""|"Sozzago"|"VIA ROMA 22 , SOZZAGO, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"300"|"003141"|"Sozzago"
"8264"|"0101000020787F0000A3703D0A43301D41DC82EB61592D5341"|"Scuola"|"Scuola - Infanzia"|"Sozzago"|"Piazza Bonola, 5"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"003141"|"Sozzago"
"398"|"0101000020787F0000866158F11CB31B419BC27E76FE585341"|"Banche-ATM"|""|"Orta San Giulio"|"PIAZZA RAGAZZONI, 16 ORTA SAN GIULIO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"300"|"003112"|"Orta San Giulio"
"1073"|"0101000020787F000000CC888FCBB31B4167A78DACE0585341"|"Banche-ATM"|""|"Orta San Giulio"|"VIA GIOVANNETTI, 3 ORTA SAN GIULIO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"300"|"003112"|"Orta San Giulio"
"6423"|"0101000020787F0000863D0FA3F2B21B41C8EB679400595341"|"Poste"|""|"Orta San Giulio"|"RAGAZZONI 5 (PIAZZA), ORTA SAN GIULIO, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"300"|"003112"|"Orta San Giulio"
"8375"|"0101000020787F00009A703D0AF0C61B41C7D4A3C048585341"|"Scuola"|"Scuola - Primaria-sec. 1 Gr."|"Orta San Giulio"|"Via Prsciola 5"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"003112"|"Orta San Giulio"
"8376"|"0101000020787F000099703D0AB8B21B41C8D4A380FE585341"|"Scuola"|"Scuola - Infanzia"|"Orta San Giulio"|"Piazza Ragazzoni 8"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"003112"|"Orta San Giulio"
"851"|"0101000020787F000054B4D935F7681641F39BEA523F105341"|"Banche-ATM"|""|"Condove"|"VIA GARIBALDI, 2 CONDOVE"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001093"|"Condove"
"1291"|"0101000020787F0000A8FB955F796616419ACE9F9E2E105341"|"Banche-ATM"|""|"Condove"|"VIA ROMA, 8/A CONDOVE"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001093"|"Condove"
"6188"|"0101000020787F0000A8BA1DE91C6616413759B2270F105341"|"Poste"|""|"Condove"|"VIA A.GRANDI 1, CONDOVE, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001093"|"Condove"
"8824"|"0101000020787F00007401D7A3776816410AE951C827105341"|"Scuola"|"Scuola - Primaria"|"Condove"|"Piazza Martiri Della Liberta'  5"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001093"|"Condove"
"8852"|"0101000020787F0000DD1585EB17651641C207D7F3F70F5341"|"Scuola"|"Scuola - Infanzia"|"Condove"|"Via G. Rodari 5"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001093"|"Condove"
"9431"|"0101000020787F000024F7FFFF0B65164186FDFFBFF50F5341"|"Scuola"|"Scuola - Infanzia"|"Condove"|"Via Rodari 5"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001093"|"Condove"
"10709"|"0101000020787F00003DCEA37087671641B93033E3E60F5341"|"Scuola"|"Scuola - Sec. 1 Gr."|"Condove"|"Via E. De Amicis 1"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001093"|"Condove"
"443"|"0101000020787F00001B859B6C4925194163CFBF1D1ECE5241"|"Banche-ATM"|""|"Piozzo"|"VIA CARRU', 12 PIOZZO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"300"|"004169"|"Piozzo"
"6474"|"0101000020787F0000609C5AE1A5241941D8C1D61B5ECE5241"|"Poste"|""|"Piozzo"|"ROMA 1 (VIA), PIOZZO, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"300"|"004169"|"Piozzo"
"8761"|"0101000020787F00007FE886F41C251941D08740D53CCE5241"|"Scuola"|"Scuola - Primaria"|"Piozzo"|"Via Lazanio 20"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"004169"|"Piozzo"
"6477"|"0101000020787F0000475DB0C4C1C51941118BEB6D48335341"|"Poste"|""|"Piverone"|"VIA G.FLECCHIA 48, PIVERONE, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001196"|"Piverone"
"8011"|"0101000020787F000014703D0ACCC61941C5D4A3C054335341"|"Scuola"|"Scuola - Primaria-sec. 1 Gr."|"Piverone"|"Primaria Piazza Lucca 15  Scuola Secondaria Di Iã¸ Grado Piazza Lucca 15"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001196"|"Piverone"
"8973"|"0101000020787F00006C2763E0A2C619412F7C768356335341"|"Scuola"|"Scuola - Sec. 1 Gr."|"Piverone"|"P.zza Lucca Borghesio 2"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001196"|"Piverone"
"6437"|"0101000020787F00007FBEACE432B818416FF6E8B05F315341"|"Poste"|""|"Quagliuzzo"|"PROVINCIALE 14 (STRADA), QUAGLIUZZO, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001208"|"Quagliuzzo"
"6438"|"0101000020787F000037321000A6B61841FFFB218249315341"|"Poste"|""|"Quagliuzzo"|"VIA PROVINCIALE 14, QUAGLIUZZO, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001208"|"Quagliuzzo"
"794"|"0101000020787F00004E15B933A7A118415EC58A40BFFF5241"|"Banche-ATM"|""|"Cambiano"|"CORSO ONORIO LISA, 16 CAMBIANO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001048"|"Cambiano"
"2084"|"0101000020787F000065C1A3564E9F1841498A9A2609FF5241"|"Banche-ATM"|""|"Cambiano"|"VIA NAZIONALE, 71 CAMBIANO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001048"|"Cambiano"
"2091"|"0101000020787F00006E2D6E9F02A31841F0A0CBB1EDFF5241"|"Banche-ATM"|""|"Cambiano"|"VIA BORGARELLI,1 CAMBIANO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001048"|"Cambiano"
"5516"|"0101000020787F0000019B4D49E2A3184174D4AE68F6FF5241"|"Poste"|""|"Cambiano"|"VIA BORGARELLI 12, CAMBIANO, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001048"|"Cambiano"
"8123"|"0101000020787F000051FEFFFF2FA31841B8FDFFFF91FF5241"|"Scuola"|"Scuola - Sec. 1 Gr."|"Cambiano"|""|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001048"|"Cambiano"
"8224"|"0101000020787F0000F16E3D0A909F1841C2D4A34095FF5241"|"Scuola"|"Scuola - Infanzia"|"Cambiano"|"Via Bussolette 4"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001048"|"Cambiano"
"8911"|"0101000020787F00009ADF7A14E5A218416645E1DAB1FF5241"|"Scuola"|"Scuola - Primaria"|"Cambiano"|"Viale Roma 5"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001048"|"Cambiano"
"11670"|"0101000020787F000052FEFFFFF3A21841B9FDFF3FACFF5241"|"Scuola"|"Scuola - Infanzia-primaria"|"Cambiano"|"Piazza G. Burzio 3"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"500"|"001048"|"Cambiano"
"6032"|"0101000020787F000038000CCE39901B417ABC0513335E5341"|"Poste"|""|"Nonio"|"PIAZZA S. ROCCO, NONIO, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"300"|"103048"|"Nonio"
"9326"|"0101000020787F00001B5C8FC23D921B41C8D4A300325E5341"|"Scuola"|"Scuola - Infanzia"|"Nonio"|"Via Marconi 2"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"103048"|"Nonio"
"520"|"0101000020787F000020BC425F2BD81841D7560DFDBE3F5341"|"Banche-ATM"|""|"Quincinetto"|"VIA XXV APRILE, 2/12 QUINCINETTO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001210"|"Quincinetto"
"5061"|"0101000020787F000020BC425F2BD81841D7560DFDBE3F5341"|"Poste"|""|"Quincinetto"|"VIA XXV APRILE 2, QUINCINETTO, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001210"|"Quincinetto"
"8209"|"0101000020787F0000D208D7A320D71841B9FDFFCFD63F5341"|"Scuola"|"Scuola - Primaria"|"Quincinetto"|"Via Piemonte 8"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001210"|"Quincinetto"
"10468"|"0101000020787F0000E5B61E8566D418415E6E3D6ACB3F5341"|"Scuola"|"Scuola - Infanzia"|"Quincinetto"|"Via Umberto I 1"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001210"|"Quincinetto"
"432"|"0101000020787F0000EA8D41B33ABE1741E90C3798DBED5241"|"Banche-ATM"|""|"Polonghera"|"VIA UMBERTO I, 52 POLONGHERA"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"300"|"004171"|"Polonghera"
"433"|"0101000020787F00009315038283BC1741991819DBEEED5241"|"Banche-ATM"|""|"Polonghera"|"VIA UMBERTO I, 53 POLONGHERA"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"300"|"004171"|"Polonghera"
"6467"|"0101000020787F00004A5E9F1057BA1741E708237AF6ED5241"|"Poste"|""|"Polonghera"|"UMBERTO I 75 (VIA), POLONGHERA, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"300"|"004171"|"Polonghera"
"8368"|"0101000020787F00002C6D3D0AC4BD1741BBD4A3C0BEED5241"|"Scuola"|"Scuola - Primaria"|"Polonghera"|"Via Fossati 8"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"004171"|"Polonghera"
"5330"|"0101000020787F0000B425EBB9F66D1B417CD80D07BA6D5341"|"Poste"|""|"Anzola D'ossola"|"VIA MEGOLO 10, ANZOLA D'OSSOLA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"300"|"103002"|"Anzola d'Ossola"
"8252"|"0101000020787F0000A61E85EB9E661B413A12AE27866D5341"|"Scuola"|"Scuola - Infanzia-primaria"|"Anzola D`ossola"|"Via Megolo 4"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"103002"|"Anzola d'Ossola"
"1605"|"0101000020787F0000F3FDA8437F1E184158CEB35934C25241"|"Banche-ATM"|""|"Margarita"|"PIAZZA MARCONI, 7 MARGARITA"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"300"|"004118"|"Margarita"
"1606"|"0101000020787F000085A4D073591F1841EEB87A7D28C25241"|"Banche-ATM"|""|"Margarita"|"VIA ROMA, 13/A MARGARITA"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"300"|"004118"|"Margarita"
"5917"|"0101000020787F0000F255182FFE0E1841B008E8E901C25241"|"Poste"|""|"Margarita"|"ZUCCO (VIA), MARGARITA, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"300"|"004118"|"Margarita"
"8780"|"0101000020787F0000DD3A0AD7C01D18415B6E3D6A2DC25241"|"Scuola"|"Scuola - Primaria"|"Margarita"|"Piazza Marconi 3"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"004118"|"Margarita"
"6436"|"0101000020787F0000A61A4475C1581A4199755D12FDCA5241"|"Poste"|""|"Prunetto"|"VIA S. SEBASTIANO 12, PRUNETTO, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"300"|"004178"|"Prunetto"
"10492"|"0101000020787F0000B6FFFFFF5B5D1A41BDFDFFFF1FCB5241"|"Scuola"|"Scuola - Primaria"|"Prunetto"|"Via San Sebastiano, 59"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"004178"|"Prunetto"
"1377"|"0101000020787F00005808709ECF541B411CBEEB28EA865341"|"Banche-ATM"|""|"Crodo"|"VIA PELLANDA, 5 CRODO"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"300"|"103026"|"Crodo"
"6273"|"0101000020787F0000544FC4EA3A551B4145B318C347875341"|"Poste"|""|"Crodo"|"FRANCIONE DON L.31 (PIAZZA), CRODO, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"300"|"103026"|"Crodo"
"10477"|"0101000020787F0000ECFFFFFF77541B41C0FDFFBFEC865341"|"Scuola"|"Scuola - Primaria"|"Crodo"|"Via Pellanda 7"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"103026"|"Crodo"
"11279"|"0101000020787F0000F7008E26F1561B4193C6C1DB66875341"|"Scuola"|"Scuola - Sec. 2 Gr."|"Crodo"|"Via Roma 11"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"103026"|"Crodo"
"5959"|"0101000020787F0000D36D03F7F0F71841D5531D9C63275341"|"Poste"|""|"Montalenghe"|"CORSO MAINARDI 1, MONTALENGHE, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001159"|"Montalenghe"
"9553"|"0101000020787F0000A750B81E46F51841539799596C275341"|"Scuola"|"Scuola - Infanzia"|"Montalenghe"|"Via San Giovanni  Bosco 42"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001159"|"Montalenghe"
"9554"|"0101000020787F00008CCBCCCC37F818412B3B0A0770275341"|"Scuola"|"Scuola - Primaria"|"Montalenghe"|"Via Cavour 2"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001159"|"Montalenghe"
"5415"|"0101000020787F0000566025A819941841F2EF8C68C72C5341"|"Poste"|""|"Bairo"|"PIAZZA COMUNALE 1, BAIRO, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001015"|"Bairo"
"9461"|"0101000020787F00009F646666D6931841CCAB47D1CA2C5341"|"Scuola"|"Scuola - Primaria"|"Bairo"|"Piazza Comunale 1"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"001015"|"Bairo"
"6406"|"0101000020787F0000547AC82039031B4167AE2114A1735341"|"Poste"|""|"Pallanzeno"|"VIA CASELLA  1, PALLANZENO, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"300"|"103052"|"Pallanzeno"
"9506"|"0101000020787F000085703D0AD0051B41C9D4A300A6735341"|"Scuola"|"Scuola - Infanzia"|"Pallanzeno"|"Via Leonardi 10"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"103052"|"Pallanzeno"
"10684"|"0101000020787F000084703D0A54031B41D4AB4701A3735341"|"Scuola"|"Scuola - Primaria"|"Pallanzeno"|"Piazza Municipio 10"|""|""|"BDTRE"|""|"S"|"S"|""|""|""|""|""|""|"300"|"103052"|"Pallanzeno"
"5419"|"0101000020787F000042765DF295FC1A41957E077FCAF45241"|"Poste"|""|"Azzano D'asti"|"VIA ALFIERI  7, AZZANO D'ASTI, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"300"|"005006"|"Azzano d'Asti"
"5420"|"0101000020787F0000260C737BA6FC1A41BBB093CAD1F45241"|"Poste"|""|"Azzano D'asti"|"VITTORIO ALFIERI 2 (VIA), AZZANO D'ASTI, ITALIA"|""|""|"http://www.blia.it/utili/abicab/elencoposte.php"|""|"S"|"S"|""|""|""|""|""|""|"300"|"005006"|"Azzano d'Asti"
"953"|"0101000020787F000045EBC36271271B412EDF6816A47B5341"|"Banche-ATM"|""|"Domodossola"|"LARGO CADUTI LAGER NAZIFASCISTI, 1 DOMODOSSOLA"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"103028"|"Domodossola"
"954"|"0101000020787F00003EA441776B2E1B413B127940507B5341"|"Banche-ATM"|""|"Domodossola"|"PIAZZA DELL'ORO, 1 DOMODOSSOLA"|""|""|"Banca d'Italia"|""|"S"|"S"|""|""|""|""|""|""|"500"|"103028"|"Domodossola"
